ID	Buffington_201_001	Buffington_201_002	Buffington_201_003	Buffington_201_005	Buffington_201_006	Buffington_201_007	Buffington_201_008	Buffington_201_009	Buffington_201_010	Buffington_201_011	Buffington_201_013	Buffington_201_014
ASV_103	279	1	0	0	0	0	0	0	0	2	0	0
ASV_104	5	0	97	0	116	0	0	0	0	1	63	0
ASV_105	1	0	17	0	0	110	0	1	0	145	7	0
ASV_106	0	0	0	0	0	0	0	0	0	279	0	0
ASV_107	2	11	4	17	0	31	6	1	45	0	12	146
ASV_108	0	70	189	0	8	0	0	0	1	0	7	0
ASV_109	13	125	2	15	31	0	0	26	0	27	31	0
ASV_110	21	24	2	47	3	58	21	7	4	50	32	0
ASV_111	3	0	4	21	31	0	19	0	12	158	21	0
ASV_112	127	0	0	0	0	0	0	0	0	0	137	0
ASV_113	13	5	18	28	20	116	9	3	0	52	0	0
ASV_114	10	1	2	25	0	130	10	57	5	4	20	0
ASV_115	2	48	60	47	0	57	6	22	0	20	2	0
ASV_116	128	0	23	0	10	0	0	0	0	101	0	0
ASV_117	144	0	0	0	0	67	0	22	0	8	15	0
ASV_118	19	3	0	1	0	0	0	0	0	27	0	205
ASV_119	0	0	231	0	16	0	0	7	0	0	0	0
ASV_120	0	0	249	1	0	0	0	0	0	0	0	0
ASV_121	111	0	0	0	37	0	0	0	0	99	0	0
ASV_122	0	1	0	2	0	14	0	3	5	0	0	219
ASV_123	2	25	77	0	59	49	26	0	0	4	0	0
ASV_124	0	0	0	0	0	0	0	0	0	0	242	0
ASV_125	0	0	0	0	0	0	0	0	0	240	0	0
ASV_126	0	0	0	0	0	6	0	4	127	89	0	10
ASV_127	222	0	12	1	0	0	0	0	0	0	0	0
ASV_128	0	1	0	0	4	12	0	183	31	0	0	0
ASV_129	24	0	22	0	26	0	0	140	0	16	0	0
ASV_130	7	0	21	50	0	34	19	21	68	5	0	0
ASV_131	131	0	0	0	7	0	0	0	0	81	2	0
ASV_132	0	0	0	0	0	0	0	220	0	0	0	0
ASV_133	0	0	0	191	0	0	0	0	0	25	3	0
ASV_134	22	0	130	0	0	0	0	0	0	58	0	0
ASV_135	12	0	10	16	0	1	1	0	0	2	0	165
ASV_136	0	206	1	0	0	0	0	0	0	0	0	0
ASV_137	71	0	0	59	6	6	1	12	48	1	0	0
ASV_138	30	0	56	34	0	21	0	1	0	8	0	54
ASV_139	2	1	0	1	5	5	0	4	7	0	0	178
ASV_140	2	28	3	34	0	17	1	19	66	2	14	0
ASV_141	0	66	0	1	13	0	11	1	49	0	41	3
ASV_142	0	0	0	0	0	0	0	0	0	0	182	0
ASV_143	0	0	0	0	133	0	0	0	0	0	46	0
ASV_144	141	0	23	0	0	0	0	13	0	0	0	0
ASV_145	78	31	36	3	6	3	0	0	0	0	18	0
ASV_146	0	0	0	2	0	0	0	2	170	0	0	0
ASV_147	56	0	0	0	117	0	0	0	0	0	0	0
ASV_148	1	29	38	9	0	16	30	1	40	0	2	5
ASV_149	26	0	3	0	31	0	0	75	22	7	6	0
ASV_150	0	169	0	0	0	0	0	0	0	0	0	0
ASV_151	53	0	3	71	2	16	0	7	15	1	0	0
ASV_152	1	0	39	8	2	15	0	8	33	60	1	0
ASV_153	0	0	0	0	5	0	0	124	0	36	0	0
ASV_154	1	0	30	52	10	11	21	14	6	7	7	0
ASV_155	0	10	0	0	147	0	0	0	0	0	0	0
ASV_156	0	12	144	0	0	0	0	0	0	0	0	0
ASV_157	0	0	0	0	0	0	0	0	0	156	0	0
ASV_158	4	0	0	23	9	7	0	4	77	12	1	18
ASV_159	0	50	2	2	5	96	0	0	0	0	0	0
ASV_160	82	3	0	0	0	0	0	25	38	6	0	0
ASV_161	0	0	2	0	0	0	11	132	0	2	0	0
ASV_162	0	0	0	147	0	0	0	0	0	0	0	0
ASV_163	0	0	65	0	0	0	0	0	0	80	0	0
ASV_164	0	0	0	9	100	1	0	35	0	0	0	0
ASV_165	22	0	0	0	12	0	0	30	0	79	0	0
ASV_166	17	0	5	57	28	18	2	0	0	0	16	0
ASV_167	0	0	0	44	0	0	57	0	0	0	42	0
ASV_168	136	0	0	0	0	0	0	0	0	0	0	0
ASV_169	1	0	0	0	2	0	0	0	0	133	0	0
ASV_170	0	6	5	20	29	28	0	28	0	20	0	0
ASV_171	3	0	0	12	1	34	0	20	22	43	0	0
ASV_172	0	0	129	0	0	0	0	0	0	5	0	0
ASV_173	0	0	0	0	0	130	4	0	0	0	0	0
ASV_174	0	133	0	0	0	0	0	0	0	0	0	0
ASV_175	128	4	0	0	0	0	0	0	0	0	0	0
ASV_176	0	0	0	0	131	0	0	0	0	0	0	0
ASV_177	1	0	0	8	4	1	3	0	0	0	3	110
ASV_178	0	128	0	0	0	0	0	0	0	0	0	0
ASV_179	2	0	5	0	3	0	1	4	108	1	2	0
ASV_180	0	63	0	4	0	54	0	3	2	0	0	0
ASV_181	3	0	19	5	0	0	5	2	0	14	8	68
ASV_182	0	0	0	0	2	0	0	0	0	5	116	0
ASV_183	25	0	9	7	30	0	0	15	32	3	1	0
ASV_184	14	0	4	0	1	0	0	0	0	0	0	102
ASV_185	3	0	18	31	3	16	6	26	1	4	12	0
ASV_186	3	0	0	0	0	0	0	0	0	106	9	0
ASV_187	4	0	2	0	1	100	0	0	0	0	9	0
ASV_188	5	1	0	0	0	99	0	0	0	9	0	0
ASV_189	0	0	0	23	5	0	1	66	0	19	0	0
ASV_190	51	0	0	0	0	0	0	0	0	20	41	0
ASV_191	11	0	0	0	22	0	27	0	46	0	5	0
ASV_192	31	0	0	0	19	0	0	1	0	9	50	0
ASV_193	58	0	1	4	0	1	0	1	0	44	0	0
ASV_194	1	0	1	29	5	47	6	0	0	5	14	0
ASV_195	0	69	0	13	1	6	19	0	0	0	0	0
ASV_196	0	0	0	0	0	0	0	107	0	0	0	0
ASV_197	0	0	0	0	0	0	0	106	0	0	0	0
ASV_198	5	40	10	0	27	0	0	23	0	0	0	0
ASV_199	0	19	0	0	0	0	0	0	79	0	7	0
ASV_200	0	13	71	0	3	0	0	0	0	16	2	0
ASV_201	0	0	31	4	3	28	18	0	0	12	7	1
ASV_202	0	0	0	0	0	25	0	78	0	0	0	0
ASV_203	0	6	2	0	2	5	0	10	9	0	0	68
ASV_204	0	101	0	0	0	0	0	0	0	0	0	0
ASV_205	0	0	0	0	98	0	0	0	1	0	0	0
ASV_206	0	0	0	0	1	66	0	0	0	32	0	0
ASV_207	96	0	0	0	0	0	0	0	0	0	0	0
ASV_208	10	0	17	0	16	0	0	21	0	28	0	0
ASV_209	2	0	0	0	0	0	0	26	0	64	0	0
ASV_210	0	39	0	4	0	0	35	0	2	0	6	2
ASV_211	0	0	0	0	0	86	0	0	0	0	2	0
ASV_212	0	0	0	0	0	0	0	0	0	0	87	0
ASV_213	0	0	85	0	0	0	0	0	0	0	0	0
ASV_214	0	0	59	0	0	0	0	0	0	0	26	0
ASV_215	38	0	0	17	0	13	0	6	0	9	0	0
ASV_216	6	0	4	0	10	1	0	15	1	39	7	0
ASV_217	67	0	12	0	0	0	0	0	0	0	0	0
ASV_218	1	0	1	0	22	0	0	33	0	22	0	0
ASV_219	0	0	0	1	0	78	0	0	0	0	0	0
ASV_220	0	0	2	1	0	13	0	0	26	0	0	36
ASV_221	0	0	0	76	0	0	0	1	0	0	0	0
ASV_222	0	75	0	0	0	0	0	0	0	0	0	0
ASV_223	0	0	0	0	28	0	0	0	0	46	0	0
ASV_224	0	0	0	0	0	0	0	0	0	74	0	0
ASV_225	0	0	0	0	73	0	0	0	0	0	0	0
ASV_226	47	0	0	0	1	0	0	0	0	24	0	0
ASV_227	0	0	67	0	0	0	0	0	0	2	0	2
ASV_228	0	5	1	4	0	9	1	0	50	0	0	0
ASV_229	0	69	0	0	0	0	0	0	0	0	0	0
ASV_230	2	4	15	15	0	14	9	0	0	3	6	0
ASV_231	0	0	0	0	0	1	0	1	42	1	0	23
ASV_232	21	23	6	16	0	0	0	0	0	0	0	0
ASV_233	0	0	0	0	0	0	0	0	3	63	0	0
ASV_234	0	0	0	0	5	2	0	0	52	1	0	3
ASV_235	17	0	12	0	15	0	0	1	10	4	2	0
ASV_236	0	0	0	0	0	0	61	0	0	0	0	0
ASV_237	0	0	0	0	0	0	0	6	0	55	0	0
ASV_238	0	0	0	0	0	0	0	60	0	0	0	0
ASV_239	0	0	0	0	0	0	0	51	0	0	0	9
ASV_240	8	0	0	0	0	0	0	0	0	3	48	0
ASV_241	0	0	18	0	0	0	40	0	0	1	0	0
ASV_242	0	0	0	0	0	0	0	0	0	57	2	0
ASV_243	0	0	0	0	11	0	0	32	0	15	0	0
ASV_244	32	0	0	0	0	0	0	0	0	25	0	0
ASV_245	24	0	27	0	2	0	0	0	0	4	0	0
ASV_246	13	0	0	0	0	0	0	44	0	0	0	0
ASV_247	7	0	7	0	0	31	0	7	0	5	0	0
ASV_248	0	0	2	1	1	9	6	6	18	0	0	14
ASV_249	0	0	1	0	0	0	0	56	0	0	0	0
ASV_250	8	0	1	31	0	8	0	0	0	0	8	0
ASV_251	6	0	2	0	7	24	5	10	0	2	0	0
ASV_252	5	0	0	0	0	0	0	0	0	51	0	0
ASV_253	1	0	0	0	1	0	0	0	54	0	0	0
ASV_254	0	0	0	56	0	0	0	0	0	0	0	0
ASV_255	0	0	0	0	4	0	0	0	0	0	52	0
ASV_256	0	0	0	0	0	0	0	0	0	0	56	0
ASV_257	8	0	0	5	23	0	0	19	0	0	0	0
ASV_258	4	0	40	0	0	0	3	0	0	7	0	0
ASV_259	53	0	0	0	0	0	0	0	0	0	0	0
ASV_260	12	1	0	10	2	0	0	2	5	1	0	20
ASV_261	0	0	0	0	51	0	0	2	0	0	0	0
ASV_262	0	0	0	0	50	0	0	0	0	0	3	0
ASV_263	0	0	0	0	0	31	0	0	0	22	0	0
ASV_264	0	0	0	0	0	0	0	0	0	0	53	0
ASV_265	12	0	1	4	1	21	0	1	2	7	3	0
ASV_266	5	11	0	0	0	0	0	0	36	0	0	0
ASV_267	2	0	20	22	0	0	3	0	0	3	1	0
ASV_268	0	0	0	19	0	0	0	29	0	2	1	0
ASV_269	41	0	0	0	0	0	0	0	0	0	9	0
ASV_270	39	0	0	0	1	0	0	9	0	0	0	0
ASV_271	1	0	0	0	0	0	0	0	47	1	0	0
ASV_272	3	0	4	0	35	0	0	2	0	3	0	0
ASV_273	0	0	0	0	24	0	0	0	0	23	0	0
ASV_274	0	0	0	13	0	0	10	13	10	0	0	0
ASV_275	12	0	1	0	0	0	0	0	0	7	25	0
ASV_276	3	0	0	0	4	1	0	0	13	19	0	5
ASV_277	1	4	5	18	3	0	0	2	4	5	3	0
ASV_278	0	0	0	44	1	0	0	0	0	0	0	0
ASV_279	9	0	6	20	0	0	0	0	0	1	8	0
ASV_280	6	0	8	0	0	0	0	0	0	30	0	0
ASV_281	0	0	4	21	3	3	0	0	7	3	3	0
ASV_282	27	0	0	13	0	0	3	0	0	0	0	0
ASV_283	26	0	0	9	0	0	0	7	0	1	0	0
ASV_284	0	6	0	0	2	0	0	1	12	0	3	19
ASV_285	0	0	0	9	8	21	0	3	0	2	0	0
ASV_286	0	0	0	0	0	0	0	0	0	0	43	0
ASV_287	9	0	24	0	0	0	0	2	7	0	0	0
ASV_288	0	1	0	0	0	0	0	41	0	0	0	0
ASV_289	0	0	0	0	0	0	0	0	0	42	0	0
ASV_290	0	0	1	13	4	2	0	12	0	0	0	9
ASV_291	0	0	0	0	0	0	0	41	0	0	0	0
ASV_292	6	0	14	0	0	0	0	0	0	20	0	0
ASV_293	0	4	0	0	0	0	0	0	26	0	0	10
ASV_294	0	0	0	11	0	27	0	2	0	0	0	0
ASV_295	17	0	0	0	1	0	0	2	0	2	0	17
ASV_296	0	0	13	0	0	0	0	15	0	11	0	0
ASV_297	0	0	1	4	0	2	0	15	2	0	0	15
ASV_298	0	0	0	0	0	0	0	39	0	0	0	0
ASV_299	38	0	0	0	0	0	0	0	0	0	0	0
ASV_300	37	0	0	0	1	0	0	0	0	0	0	0
ASV_301	4	0	1	1	0	9	0	2	0	1	0	20
ASV_302	0	0	0	0	0	0	0	0	0	0	0	38
ASV_303	13	0	7	8	0	0	5	3	0	1	0	0
ASV_304	9	0	1	0	18	0	2	0	0	2	5	0
ASV_305	0	5	0	1	0	3	0	0	9	0	0	19
ASV_306	0	0	37	0	0	0	0	0	0	0	0	0
ASV_307	0	0	0	16	2	0	0	0	0	18	1	0
ASV_308	5	0	0	0	11	5	0	7	0	2	6	0
ASV_309	12	0	0	12	0	0	11	0	0	0	0	0
ASV_310	0	0	0	0	0	33	0	0	0	2	0	0
ASV_311	18	0	3	0	0	0	0	0	0	13	0	0
ASV_312	0	0	0	0	0	0	0	0	0	34	0	0
ASV_313	1	5	0	20	0	0	3	0	0	0	4	0
ASV_314	0	0	33	0	0	0	0	0	0	0	0	0
ASV_315	4	0	15	0	2	0	2	9	0	0	0	0
ASV_316	0	0	0	1	0	0	0	3	0	0	0	28
ASV_317	4	0	1	0	3	6	7	0	8	2	0	0
ASV_318	3	0	0	0	17	0	0	4	0	7	0	0
ASV_319	0	31	0	0	0	0	0	0	0	0	0	0
ASV_320	0	0	6	23	1	0	0	0	0	0	1	0
ASV_321	19	0	9	0	0	0	0	0	0	2	0	0
ASV_322	13	0	2	0	0	0	0	0	0	14	1	0
ASV_323	0	10	0	0	1	0	0	2	9	0	0	8
ASV_324	7	0	9	0	0	0	0	0	0	7	6	0
ASV_325	0	0	0	0	23	0	0	6	0	0	0	0
ASV_326	2	0	12	2	0	1	0	6	3	0	0	2
ASV_327	2	0	0	0	1	0	0	0	0	25	0	0
ASV_328	0	12	1	0	1	3	0	3	3	2	2	1
ASV_329	0	1	0	0	0	0	0	1	5	1	18	2
ASV_330	0	0	0	0	0	0	0	0	0	28	0	0
ASV_331	27	0	0	0	0	0	0	0	0	0	0	0
ASV_332	23	0	0	0	1	0	0	0	0	3	0	0
ASV_333	5	0	0	0	22	0	0	0	0	0	0	0
ASV_334	3	0	4	0	3	6	0	4	0	6	1	0
ASV_335	2	0	2	0	1	4	0	1	11	6	0	0
ASV_336	1	0	0	0	0	0	0	0	0	26	0	0
ASV_337	0	0	0	16	0	0	0	11	0	0	0	0
ASV_338	0	0	0	0	0	5	0	21	0	1	0	0
ASV_339	0	0	0	0	0	0	0	0	0	27	0	0
ASV_340	13	4	0	0	1	0	7	0	0	1	0	0
ASV_341	2	0	6	5	0	5	0	7	0	0	1	0
ASV_342	1	0	2	1	4	4	0	4	5	4	1	0
ASV_343	0	0	0	0	0	0	0	26	0	0	0	0
ASV_344	0	0	0	0	0	0	0	0	0	0	26	0
ASV_345	2	0	0	0	6	1	0	3	7	6	0	0
ASV_346	0	5	0	7	0	0	0	13	0	0	0	0
ASV_347	0	3	1	1	1	5	3	0	5	0	0	6
ASV_348	0	0	16	0	0	0	0	0	0	1	8	0
ASV_349	0	0	0	0	0	0	0	17	0	8	0	0
ASV_350	4	0	2	0	0	0	0	9	0	9	0	0
ASV_351	4	0	19	0	1	0	0	0	0	0	0	0
ASV_352	0	1	16	2	1	0	0	0	1	1	1	1
ASV_353	0	0	2	0	0	4	0	2	14	0	2	0
ASV_354	0	0	0	0	2	2	0	10	10	0	0	0
ASV_355	0	0	0	0	0	0	0	0	24	0	0	0
ASV_356	0	0	0	0	0	0	0	0	0	24	0	0
ASV_357	2	0	4	0	0	6	0	0	0	4	7	0
ASV_358	0	0	9	13	1	0	0	0	0	0	0	0
ASV_359	0	0	0	0	0	0	0	23	0	0	0	0
ASV_360	20	0	2	0	0	0	0	0	0	0	0	0
ASV_361	0	1	9	1	0	0	0	1	6	3	1	0
ASV_362	0	0	13	0	0	9	0	0	0	0	0	0
ASV_363	0	0	0	2	0	0	0	19	0	1	0	0
ASV_364	0	0	0	0	0	10	0	10	0	2	0	0
ASV_365	11	0	1	2	2	0	0	1	4	0	0	0
ASV_366	1	0	0	0	0	5	0	6	9	0	0	0
ASV_367	1	0	0	0	15	0	0	1	0	4	0	0
ASV_368	0	19	0	0	0	0	1	0	1	0	0	0
ASV_369	0	0	2	5	0	6	0	6	2	0	0	0
ASV_370	0	0	0	9	2	0	0	5	0	1	3	1
ASV_371	0	0	0	0	0	0	0	0	0	21	0	0
ASV_372	0	0	0	0	0	0	0	0	0	0	20	0
ASV_373	11	0	0	0	2	0	0	6	0	0	0	0
ASV_374	6	0	0	0	8	0	0	0	1	4	0	0
ASV_375	2	1	0	0	0	15	0	0	1	0	0	0
ASV_376	1	0	0	18	0	0	0	0	0	0	0	0
ASV_377	0	6	0	5	1	0	5	0	2	0	0	0
ASV_378	0	0	0	13	0	0	3	0	3	0	0	0
ASV_379	0	0	0	0	0	0	0	19	0	0	0	0
ASV_380	0	0	0	0	0	0	0	4	1	0	0	14
ASV_381	0	0	0	0	0	0	0	0	0	19	0	0
ASV_382	6	0	0	0	0	0	0	0	0	12	0	0
ASV_383	2	0	0	0	3	0	0	13	0	0	0	0
ASV_384	0	0	11	1	4	0	0	1	1	0	0	0
ASV_385	0	0	0	0	0	0	0	15	0	3	0	0
ASV_386	17	0	0	0	0	0	0	0	0	0	0	0
ASV_387	5	0	1	0	9	0	0	0	1	1	0	0
ASV_388	3	0	0	0	14	0	0	0	0	0	0	0
ASV_389	1	0	3	0	0	0	0	2	0	6	5	0
ASV_390	0	0	0	1	0	0	0	0	0	16	0	0
ASV_391	0	0	0	0	0	0	0	17	0	0	0	0
ASV_392	0	0	0	0	0	0	0	0	14	1	2	0
ASV_393	0	0	0	0	0	0	0	0	0	17	0	0
ASV_394	4	0	2	0	1	3	0	1	3	0	2	0
ASV_395	0	3	11	0	0	0	1	0	1	0	0	0
ASV_396	0	0	10	0	1	0	0	0	0	5	0	0
ASV_397	0	0	1	0	0	0	0	15	0	0	0	0
ASV_398	0	0	0	0	0	0	0	0	0	0	0	16
ASV_399	15	0	0	0	0	0	0	0	0	0	0	0
ASV_400	8	0	0	0	0	0	0	6	0	1	0	0
ASV_401	3	0	5	5	0	0	0	2	0	0	0	0
ASV_402	1	0	2	2	4	1	0	0	2	0	3	0
ASV_403	1	0	1	0	0	0	0	13	0	0	0	0
ASV_404	0	0	0	0	0	14	0	0	0	1	0	0
ASV_405	13	0	0	0	0	0	0	0	0	1	0	0
ASV_406	11	0	0	0	2	0	0	0	0	1	0	0
ASV_407	2	0	0	0	0	0	3	0	2	0	7	0
ASV_408	1	0	0	0	0	0	0	11	0	2	0	0
ASV_409	0	2	0	0	3	0	0	1	0	0	0	8
ASV_410	0	0	0	5	0	0	0	0	0	0	9	0
ASV_411	0	0	0	1	3	2	0	0	4	0	4	0
